term            parts                     how
grandmother     grand + mother            compound
grandparent     grand + parent            compound
grassland       grass + land              compound
hardware        hard + ware               compound
household       house + hold              compound
justice         just + ice                compound
keyboard        key + board               compound
knowledge       know + ledge              compound
legend          leg + end                 compound
lineage         line + age                compound
livestock       live + stock              compound
manage          man + age                 compound
message         mess + age                compound
network         net + work                compound
newspaper       news + paper              compound
notable         not + able                compound
notice          not + ice                 compound
offend          off + end                 compound
office          off + ice                 compound
offspring       off + spring              compound
oneself         one + self                compound
oneway          one + way                 compound
otherwise       other + wise              compound
ourself         our + self                compound
output          out + put                 compound
outside         out + side                compound
overcome        over + come               compound
package         pack + age                compound
passage         pass + age                compound
pathway         path + way                compound
percent         per + cent                compound
percentage      percent + age             compound
perform         per + form                compound
persevere       per + severe              compound
person          per + son                 compound
photograph      photo + graph             compound
predictable     predict + able            compound
prevent         pre + vent                compound
radioactive     radio + active            compound
rainbow         rain + bow                compound
rainfall        rain + fall               compound
rather          rat + her                 compound
reinforce       rein + force              compound
resistant       resist + ant              compound
restore         rest + ore                compound
rotten          rot + ten                 compound
sacred          sac + red                 compound
season          sea + son                 compound
sewage          sew + age                 compound
software        soft + ware               compound
someone         some + one                compound
something       some + thing              compound
substance       sub + stance              compound
sunrise         sun + rise                compound
sunset          sun + set                 compound
talkable        talk + able               compound
tenable         ten + able                compound
tenant          ten + ant                 compound
understand      under + stand             compound
understandable  understand + able         compound
useless         use + less                compound
waterfall       water + fall              compound
wavelength      wave + length             compound
withdraw        with + draw               compound
withhold        with + hold               compound
without         with + out                compound
workplace       work + place              compound
workshop        work + shop               compound
worthless       worth + less              compound
am              grammar                   grammar
are             grammar                   grammar
been            grammar                   grammar
being           grammar                   grammar
best            grammar                   grammar
better          grammar                   grammar
could           grammar                   grammar
did             grammar                   grammar
does            grammar                   grammar
done            grammar                   grammar
elder           grammar                   grammar
eldest          grammar                   grammar
further         grammar                   grammar
furthest        grammar                   grammar
had             grammar                   grammar
has             grammar                   grammar
having          grammar                   grammar
her             grammar                   grammar
hers            grammar                   grammar
herself         grammar                   grammar
him             grammar                   grammar
himself         grammar                   grammar
his             grammar                   grammar
is              grammar                   grammar
its             grammar                   grammar
itself          grammar                   grammar
me              grammar                   grammar
might           grammar                   grammar
mine            grammar                   grammar
must            grammar                   grammar
myself          grammar                   grammar
ought           grammar                   grammar
ours            grammar                   grammar
ourselves       grammar                   grammar
shall           grammar                   grammar
should          grammar                   grammar
theirs          grammar                   grammar
them            grammar                   grammar
themselves      grammar                   grammar
us              grammar                   grammar
was             grammar                   grammar
were            grammar                   grammar
whom            grammar                   grammar
whose           grammar                   grammar
worse           grammar                   grammar
worst           grammar                   grammar
